neighborhood_id,host_id
150977876,3436665
150970845,26710300
150977876,65554077
0,14942
0,30559
150970845,31481
150970845,31481
0,14942
150970845,33360
150940157,102684
0,30559
150940157,107605
231658837,340192
150970845,331494
150977876,926885
0,587302
2374422052,103825
0,3520873
0,601600
0,378445
0,1611114
0,558743
150946182,3620313
150939846,306615
231658837,2070664
150946182,804996
231658837,316200
0,601266
2374422052,3740695
0,2438665
150972830,3737272
0,3932149
0,1037115
150946182,3991908
150936037,209571
2404270129,1872473
150975261,30559
150946182,956883
150946182,956883
0,1336214
150975261,4181120
150940157,1387754
150959549,4133943
150946182,1452570
2404270129,4411144
2404270129,721070
231658837,1204187
0,4421734
150939846,1717589
2374422052,287172
2374422052,287172
150939846,1729224
150977876,3264544
150940157,4678869
150970845,1788284
0,4705328
150939846,306615
2404270129,1787819
2404270129,1025723
150939846,365687
0,4186078
150970845,5486919
150939846,5567436
0,1865986
150939846,1121532
150972830,5387574
150940157,5635244
150975261,3313235
150939846,5736221
150975261,437055
0,2094547
150970845,5774906
150939846,2739131
0,165390
150959549,6031552
0,3921530
150946182,5856339
0,165390
0,2222321
150939846,1121532
150940157,1870781
150938688,2342082
977967666,3074414
0,3921530
0,3921530
150959549,2431399
977967666,6305984
0,2438665
150946182,2612779
2404270129,3294357
2404270129,1787819
150939846,306615
150959549,2774354
2374422052,4485958
2374422052,2781551
150940157,6432543
150938688,6506114
0,2438665
0,30559
150938688,6506114
150970845,2613029
2404270129,103427
150972830,6654033
2404270129,103427
0,3018655
0,6846442
150959549,3022709
0,3023407
150936037,3009864
977967666,3074414
0,3032548
2374422052,6931145
0,3074414
2374422052,7066141
2404270129,3139639
150940157,468703
977967666,3074414
0,3181546
2374422052,6592975
150939846,5112492
150939846,1121532
977967666,3074414
2404270129,3294357
2374422052,3340441
150940157,6136210
977967666,3074414
977967666,3074414
2404270129,8905591
2374422052,7730805
150946182,8916363
150959549,7804761
977967666,3074414
150936037,8956137
150940157,1212520
0,3074414
231658837,316200
